iter	Logloss
0	0.3106401156
1	0.1661216709
2	0.09117068078
3	0.05434150142
4	0.03934710036
5	0.0289702292
6	0.02267561735
7	0.01850266172
8	0.01606260281
9	0.01456034709
10	0.01304333379
11	0.01221928765
12	0.01137165234
13	0.01070686354
14	0.01007812705
15	0.009712193151
16	0.008970595821
17	0.008525689833
18	0.007942410398
19	0.007730375097
20	0.007205621708
21	0.007062286189
22	0.006767100214
23	0.006069234699
24	0.005939980163
25	0.005633376593
26	0.005330400139
27	0.005174647923
28	0.004926625954
29	0.004757365531
30	0.004610311715
31	0.004432886937
32	0.004257883046
33	0.004101138297
34	0.004005783082
35	0.003936836116
36	0.003834851577
37	0.00374471795
38	0.003662266329
39	0.003592286494
40	0.003556113174
41	0.003507574526
42	0.003474267893
43	0.003418701641
44	0.003363437843
45	0.003259411003
46	0.003138015354
47	0.003099460459
48	0.003099422142
49	0.00298646992
50	0.002947940252
51	0.002925945764
52	0.002881766111
53	0.002727644349
54	0.002667103832
55	0.002543630173
56	0.002444019368
57	0.002443998712
58	0.002444001388
59	0.002385056122
60	0.002320400328
61	0.002287758328
62	0.002229626259
63	0.002189244966
64	0.002149978958
65	0.002124751338
66	0.00212474482
67	0.002124710691
68	0.002124706825
69	0.00212469181
70	0.002124679709
71	0.002124657843
72	0.002124662946
73	0.002124662946
74	0.002124648526
75	0.00212465194
76	0.00212465194
77	0.00212462917
78	0.002124635322
79	0.00212461597
80	0.002124594033
81	0.002088804117
82	0.002088762753
83	0.00208873606
84	0.00208873606
85	0.002064534329
86	0.002064327843
87	0.002064320564
88	0.002064294495
89	0.002064283014
90	0.002064268697
91	0.002053844648
92	0.002053833919
93	0.00205382404
94	0.002053815215
95	0.002053815215
96	0.002053808476
97	0.002053802161
98	0.002053784156
99	0.002053739809
100	0.00205373656
101	0.002053698257
102	0.002053683222
103	0.002053636015
104	0.002053619275
105	0.002053606026
106	0.002053618728
107	0.002053575052
108	0.002053522869
109	0.002053497104
110	0.00205346197
111	0.00205346197
112	0.00205346197
113	0.002053437515
114	0.002053396383
115	0.002053390885
116	0.002053373799
117	0.002053361708
118	0.002053361708
119	0.002053369736
120	0.002053369736
121	0.002053341635
122	0.00205332713
123	0.002053322302
124	0.002053320535
125	0.002053320535
126	0.002053305213
127	0.002053305213
128	0.002053291313
129	0.002053291313
130	0.002053280669
131	0.002053269529
132	0.002053254995
133	0.002053247992
134	0.002053233088
135	0.002053220426
136	0.002053205441
137	0.002053194812
138	0.002053194812
139	0.002053202781
140	0.002053202781
141	0.002053184667
142	0.002053182693
143	0.002053172661
144	0.002053161543
145	0.00205314222
146	0.00205314222
147	0.00205314222
148	0.002053134943
149	0.002053102639
150	0.002053098354
151	0.002053098354
152	0.002053081395
153	0.002053081395
154	0.002053077652
155	0.002053055605
156	0.002053055605
157	0.002053063729
158	0.002053033332
159	0.002053024758
160	0.00205301019
161	0.00205298724
162	0.00205296781
163	0.002052965982
164	0.002052957694
165	0.002052961904
166	0.002052943009
167	0.002052927045
168	0.002052927045
169	0.002052927045
170	0.002052927045
171	0.002052927045
172	0.0020529134
173	0.002052919436
174	0.002052919436
175	0.002052905511
176	0.002052890257
177	0.002052845002
178	0.002052804041
179	0.002052798013
180	0.002052803841
181	0.002052784349
182	0.002052757003
183	0.002052641607
184	0.002052645008
185	0.00205264553
186	0.002052618716
187	0.002052613961
188	0.002052599382
189	0.002052569475
190	0.002052556867
191	0.002052561705
192	0.002052554484
193	0.002052540136
194	0.002052533874
195	0.002052528251
196	0.002052513065
197	0.00205251401
198	0.002052493785
199	0.002052429736
